t 1 2 jV0100 
1.65 10 8.05048 -0.389904
1.66 10 8.06988 -0.386025
1.67 10 8.08908 -0.382184
1.68 10 8.1081 -0.378381
1.69 10 8.12692 -0.374616
1.7 10 8.14556 -0.370888
1.71 10 8.16401 -0.367198
1.72 10 8.18228 -0.363544
1.73 10 8.20037 -0.359927
1.74 10 8.21827 -0.356345
1.75 10 8.236 -0.3528
1.76 10 8.25355 -0.349289
1.77 10 8.27093 -0.345814
1.78 10 8.28814 -0.342373
1.79 10 8.30517 -0.338966
1.8 10 8.32203 -0.335593
1.81 10 8.33873 -0.332254
1.82 10 8.35526 -0.328948
1.83 10 8.37163 -0.325675
1.84 10 8.38783 -0.322434
1.85 10 8.40387 -0.319226
1.86 10 8.41975 -0.31605
1.87 10 8.43548 -0.312905
1.88 10 8.45104 -0.309791
1.89 10 8.46646 -0.306709
1.9 10 8.48171 -0.303657
1.91 10 8.49682 -0.300636
1.92 10 8.51178 -0.297644
1.93 10 8.52659 -0.294683
1.94 10 8.54125 -0.29175
1.95 10 8.55576 -0.288847
1.96 10 8.57013 -0.285973
1.97 10 8.58436 -0.283128
1.98 10 8.59845 -0.280311
1.99 10 8.61239 -0.277522
2 10 8.6262 -0.27476
2.01 10 8.63987 -0.272026
2.02 10 8.6534 -0.269319
2.03 10 8.6668 -0.26664
2.04 10 8.68007 -0.263987
2.05 10 8.6932 -0.26136
2.06 10 8.7062 -0.258759
2.07 10 8.71908 -0.256184
2.08 10 8.73182 -0.253635
2.09 10 8.74444 -0.251112
2.1 10 8.75693 -0.248613
2.11 10 8.7693 -0.246139
2.12 10 8.78155 -0.24369
2.13 10 8.79367 -0.241265
2.14 10 8.80568 -0.238865
2.15 10 8.81756 -0.236488
2.16 10 8.82933 -0.234135
2.17 10 8.84097 -0.231805
2.18 10 8.85251 -0.229499
2.19 10 8.86392 -0.227215
2.2 10 8.87523 -0.224954
2.21 10 8.88642 -0.222716
2.22 10 8.8975 -0.2205
2.23 10 8.90847 -0.218306
2.24 10 8.91933 -0.216134
2.25 10 8.93009 -0.213983
2.26 10 8.94073 -0.211854
2.27 10 8.95127 -0.209746
2.28 10 8.96171 -0.207659
2.29 10 8.97204 -0.205592
2.3 10 8.98227 -0.203547
2.31 10 8.99239 -0.201521
2.32 10 9.00242 -0.199516
2.33 10 9.01234 -0.197531
2.34 10 9.02217 -0.195566
2.35 10 9.0319 -0.19362
2.36 10 9.04153 -0.191693
2.37 10 9.05107 -0.189786
2.38 10 9.06051 -0.187897
2.39 10 9.06986 -0.186028
2.4 10 9.07912 -0.184177
2.41 10 9.08828 -0.182344
2.42 10 9.09735 -0.18053
2.43 10 9.10633 -0.178733
2.44 10 9.11523 -0.176955
2.45 10 9.12403 -0.175194
2.46 10 9.13275 -0.173451
2.47 10 9.14137 -0.171725
2.48 10 9.14992 -0.170016
2.49 10 9.15838 -0.168325
2.5 10 9.16675 -0.16665
2.51 10 9.17504 -0.164992
2.52 10 9.18325 -0.16335
2.53 10 9.19138 -0.161724
2.54 10 9.19942 -0.160115
2.55 10 9.20739 -0.158522
2.56 10 9.21528 -0.156945
2.57 10 9.22308 -0.155383
2.58 10 9.23082 -0.153837
2.59 10 9.23847 -0.152306
2.6 10 9.24605 -0.150791
2.61 10 9.25355 -0.14929
2.62 10 9.26098 -0.147805
2.63 10 9.26833 -0.146334
2.64 10 9.27561 -0.144878
