t 1 2 jV0100 
7.95 10 9.99642 -0.000715946
7.96 10 9.99646 -0.000708822
7.97 10 9.99649 -0.000701769
7.98 10 9.99653 -0.000694786
7.99 10 9.99656 -0.000687873
8 10 9.99659 -0.000681028
8.01 10 9.99663 -0.000674252
8.02 10 9.99666 -0.000667543
8.03 10 9.9967 -0.000660901
8.04 10 9.99673 -0.000654324
8.05 10 9.99676 -0.000647814
8.06 10 9.99679 -0.000641368
8.07 10 9.99683 -0.000634986
8.08 10 9.99686 -0.000628668
8.09 10 9.99689 -0.000622412
8.1 10 9.99692 -0.000616219
8.11 10 9.99695 -0.000610088
8.12 10 9.99698 -0.000604017
8.13 10 9.99701 -0.000598007
8.14 10 9.99704 -0.000592057
8.15 10 9.99707 -0.000586166
8.16 10 9.9971 -0.000580333
8.17 10 9.99713 -0.000574559
8.18 10 9.99716 -0.000568842
8.19 10 9.99718 -0.000563182
8.2 10 9.99721 -0.000557578
8.21 10 9.99724 -0.00055203
8.22 10 9.99727 -0.000546537
8.23 10 9.99729 -0.000541099
8.24 10 9.99732 -0.000535715
8.25 10 9.99735 -0.000530384
8.26 10 9.99737 -0.000525107
8.27 10 9.9974 -0.000519882
8.28 10 9.99743 -0.000514709
8.29 10 9.99745 -0.000509587
8.3 10 9.99748 -0.000504517
8.31 10 9.9975 -0.000499497
8.32 10 9.99753 -0.000494527
8.33 10 9.99755 -0.000489606
8.34 10 9.99758 -0.000484734
8.35 10 9.9976 -0.000479911
8.36 10 9.99762 -0.000475136
8.37 10 9.99765 -0.000470408
8.38 10 9.99767 -0.000465727
8.39 10 9.99769 -0.000461093
8.4 10 9.99772 -0.000456505
8.41 10 9.99774 -0.000451963
8.42 10 9.99776 -0.000447466
8.43 10 9.99778 -0.000443013
8.44 10 9.99781 -0.000438605
8.45 10 9.99783 -0.000434241
8.46 10 9.99785 -0.00042992
8.47 10 9.99787 -0.000425642
8.48 10 9.99789 -0.000421407
8.49 10 9.99791 -0.000417214
8.5 10 9.99793 -0.000413063
8.51 10 9.99796 -0.000408953
8.52 10 9.99798 -0.000404883
8.53 10 9.998 -0.000400855
8.54 10 9.99802 -0.000396866
8.55 10 9.99804 -0.000392917
8.56 10 9.99805 -0.000389008
8.57 10 9.99807 -0.000385137
8.58 10 9.99809 -0.000381305
8.59 10 9.99811 -0.000377511
8.6 10 9.99813 -0.000373754
8.61 10 9.99815 -0.000370035
8.62 10 9.99817 -0.000366353
8.63 10 9.99819 -0.000362708
8.64 10 9.9982 -0.000359099
8.65 10 9.99822 -0.000355526
8.66 10 9.99824 -0.000351988
8.67 10 9.99826 -0.000348486
8.68 10 9.99827 -0.000345018
8.69 10 9.99829 -0.000341585
8.7 10 9.99831 -0.000338187
8.71 10 9.99833 -0.000334822
8.72 10 9.99834 -0.00033149
8.73 10 9.99836 -0.000328192
8.74 10 9.99838 -0.000324926
8.75 10 9.99839 -0.000321693
8.76 10 9.99841 -0.000318492
8.77 10 9.99842 -0.000315323
8.78 10 9.99844 -0.000312185
8.79 10 9.99845 -0.000309079
8.8 10 9.99847 -0.000306004
8.81 10 9.99849 -0.000302959
8.82 10 9.9985 -0.000299944
8.83 10 9.99852 -0.00029696
8.84 10 9.99853 -0.000294005
8.85 10 9.99854 -0.00029108
8.86 10 9.99856 -0.000288183
8.87 10 9.99857 -0.000285316
8.88 10 9.99859 -0.000282477
8.89 10 9.9986 -0.000279666
8.9 10 9.99862 -0.000276883
8.91 10 9.99863 -0.000274128
8.92 10 9.99864 -0.000271401
8.93 10 9.99866 -0.0002687
8.94 10 9.99867 -0.000266026
8.95 10 9.99868 -0.000263379
8.96 10 9.9987 -0.000260759
8.97 10 9.99871 -0.000258164
8.98 10 9.99872 -0.000255595
8.99 10 9.99873 -0.000253052
9 10 9.99875 -0.000250534
9.01 10 9.99876 -0.000248041
9.02 10 9.99877 -0.000245573
9.03 10 9.99878 -0.00024313
9.04 10 9.9988 -0.000240711
9.05 10 9.99881 -0.000238315
9.06 10 9.99882 -0.000235944
9.07 10 9.99883 -0.000233596
9.08 10 9.99884 -0.000231272
9.09 10 9.99886 -0.000228971
9.1 10 9.99887 -0.000226693
9.11 10 9.99888 -0.000224437
9.12 10 9.99889 -0.000222204
9.13 10 9.9989 -0.000219993
9.14 10 9.99891 -0.000217804
9.15 10 9.99892 -0.000215636
9.16 10 9.99893 -0.000213491
9.17 10 9.99894 -0.000211367
9.18 10 9.99895 -0.000209263
9.19 10 9.99896 -0.000207181
9.2 10 9.99897 -0.00020512
9.21 10 9.99898 -0.000203079
9.22 10 9.99899 -0.000201058
9.23 10 9.999 -0.000199057
9.24 10 9.99901 -0.000197077
9.25 10 9.99902 -0.000195116
9.26 10 9.99903 -0.000193174
9.27 10 9.99904 -0.000191252
9.28 10 9.99905 -0.000189349
9.29 10 9.99906 -0.000187465
9.3 10 9.99907 -0.0001856
9.31 10 9.99908 -0.000183753
9.32 10 9.99909 -0.000181925
9.33 10 9.9991 -0.000180114
9.34 10 9.99911 -0.000178322
9.35 10 9.99912 -0.000176548
9.36 10 9.99913 -0.000174791
9.37 10 9.99913 -0.000173052
9.38 10 9.99914 -0.00017133
9.39 10 9.99915 -0.000169625
9.4 10 9.99916 -0.000167938
9.41 10 9.99917 -0.000166267
9.42 10 9.99918 -0.000164612
9.43 10 9.99919 -0.000162974
9.44 10 9.99919 -0.000161353
9.45 10 9.9992 -0.000159747
9.46 10 9.99921 -0.000158158
9.47 10 9.99922 -0.000156584
9.48 10 9.99922 -0.000155026
9.49 10 9.99923 -0.000153483
9.5 10 9.99924 -0.000151956
9.51 10 9.99925 -0.000150444
9.52 10 9.99926 -0.000148947
9.53 10 9.99926 -0.000147465
9.54 10 9.99927 -0.000145998
9.55 10 9.99928 -0.000144545
9.56 10 9.99928 -0.000143107
9.57 10 9.99929 -0.000141683
9.58 10 9.9993 -0.000140273
9.59 10 9.99931 -0.000138877
9.6 10 9.99931 -0.000137495
9.61 10 9.99932 -0.000136127
9.62 10 9.99933 -0.000134773
9.63 10 9.99933 -0.000133432
9.64 10 9.99934 -0.000132104
9.65 10 9.99935 -0.00013079
9.66 10 9.99935 -0.000129488
9.67 10 9.99936 -0.0001282
9.68 10 9.99937 -0.000126924
9.69 10 9.99937 -0.000125661
9.7 10 9.99938 -0.000124411
9.71 10 9.99938 -0.000123173
9.72 10 9.99939 -0.000121947
9.73 10 9.9994 -0.000120734
9.74 10 9.9994 -0.000119533
9.75 10 9.99941 -0.000118343
9.76 10 9.99941 -0.000117166
9.77 10 9.99942 -0.000116
9.78 10 9.99943 -0.000114846
9.79 10 9.99943 -0.000113703
9.8 10 9.99944 -0.000112572
9.81 10 9.99944 -0.000111451
9.82 10 9.99945 -0.000110342
9.83 10 9.99945 -0.000109244
9.84 10 9.99946 -0.000108157
9.85 10 9.99946 -0.000107081
9.86 10 9.99947 -0.000106016
9.87 10 9.99948 -0.000104961
9.88 10 9.99948 -0.000103917
9.89 10 9.99949 -0.000102883
9.9 10 9.99949 -0.000101859
9.91 10 9.9995 -0.000100845
9.92 10 9.9995 -9.98419e-05
9.93 10 9.99951 -9.88484e-05
9.94 10 9.99951 -9.78649e-05
9.95 10 9.99952 -9.68911e-05
9.96 10 9.99952 -9.5927e-05
9.97 10 9.99953 -9.49725e-05
9.98 10 9.99953 -9.40275e-05
9.99 10 9.99953 -9.30919e-05
10 10 9.99954 -9.21656e-05
